token,count
a,294
aback,1
abandon,1
abandoned,1
abandoning,1
abashed,1
abides,1
abilities,1
ability,1
able,6
abode,2
abounding,1
about,6
above,4
abroad,1
absolute,3
abstain,1
accents,1
accept,1
accepted,1
accidents,1
acclaimed,1
accompanied,2
accomplishment,1
accorded,1
according,5
account,2
accursed,1
achievement,1
achilles,1
acknowledge,1
acquaintance,1
acquainted,2
across,4
act,1
acted,1
acting,2
actions,3
actual,1
added,2
adding,1
addington,1
addition,2
addressed,1
adjust,1
admetus,1
admiration,3
admired,1
admiring,1
adonis,1
adopt,1
adopted,2
adorn,1
adorned,6
adorning,1
adornment,1
adroit,1
advent,1
adventure,1
advice,2
advised,1
aeacus,6
aegisthus,1
aen,1
affairs,2
affection,5
affections,1
affirm,3
affirming,1
afflicted,1
affluence,1
afford,1
afforded,2
affording,1
affrighted,1
afore,1
aforementioned,1
aforesaid,2
aforetime,2
afraid,1
african,1
after,20
afternoon,1
afterward,8
again,10
against,13
agatho,1
age,6
aged,5
ages,3
agitated,1
agitation,1
ago,3
agonies,2
agree,2
agreeable,1
agreed,1
ah,2
aid,2
air,3
ais,1
akin,1
alarmed,1
alas,8
albeit,7
alcmena,2
alexandria,1
alike,1
alive,2
all,110
allegory,1
allotted,1
allow,1
allowed,2
alludes,1
alluding,2
allusion,1
almost,12
alone,17
along,8
alpheus,1
already,12
also,11
altars,1
alterations,1
altered,1
although,14
altogether,1
always,12
am,20
amazement,1
amendment,1
ameto,1
amid,3
among,11
amongst,2
amorosa,1
amorous,5
amphaeus,1
amphitryon,1
ample,1
amuse,1
an,29
analysis,1
anapaests,1
anatomist,1
ancient,4
ancients,2
and,644
anew,1
anger,1
angry,2
anguish,6
animals,2
annaei,1
anon,2
another,14
answer,6
answered,3
answers,1
antaeus,1
anxieties,1
anxiety,1
any,27
anyone,5
anything,4
anywhere,1
apart,1
apartment,1
apennines,1
apocolocyntosis,3
apokolokuntosis,2
apollo,2
apotheosis,2
appalled,1
appalling,1
appalls,1
appareled,1
apparent,1
apparently,2
appeal,1
appear,1
appearance,2
appearances,1
appeared,6
appears,2
appetite,1
appian,1
appius,1
apply,3
appointed,2
apprehension,1
approach,1
appurtenances,1
apt,1
aptness,1
aquino,1
arabesques,1
arar,1
arcite,1
arcturus,1
ardent,3
ardor,4
are,45
argive,1
argued,1
ariadne,1
arise,2
arms,4
arose,3
around,3
arouse,1
arrange,1
arrested,1
arrived,2
arrow,1
arrows,3
art,21
artful,3
artificer,1
artificial,1
as,170
ascanius,1
ascribed,1
ashamed,2
aside,4
asinius,1
ask,3
asked,6
asleep,1
aspect,1
assario,1
assassination,1
assaults,1
assert,1
associates,1
assuming,1
assured,3
assuredly,1
astrologers,1
astuteness,1
at,80
athens,1
atlas,1
atrcus,1
atropos,1
attained,1
attempt,5
attempted,2
attention,1
attentions,1
attentive,1
attentively,2
attired,1
attiring,1
attitude,1
attracted,1
attractive,1
augeas,1
aught,1
augurinus,2
august,3
augusta,1
augustus,5
auspicious,1
austere,1
authentic,1
author,2
authority,2
autumn,1
avail,2
availed,3
avarice,1
avenge,1
aver,1
avoid,2
awake,2
awakened,2
awakens,1
aware,6
away,17
awful,1
awkwardness,1
axe,1
baba,2
bacchus,1
back,8
ball,2
band,1
banish,3
banishment,1
banks,1
barbarians,1
barely,1
barristers,1
bars,1
basket,1
bath,1
bathed,2
battle,1
battles,1
be,127
beams,1
bear,5
bearing,2
bears,1
beast,1
beat,1
beatrice,1
beauteous,2
beautiful,2
beauty,16
became,13
because,14
become,7
becomes,1
becoming,2
bed,1
been,43
befall,1
befitting,3
before,31
beg,1
began,10
