ebook_id,token
10001,produced
10001,by
10001,ted
10001,garvin
10001,ben
10001,courtney
10001,and
10001,pg
10001,distributed
10001,proofreaders
10001,seneca
10001,apocolocyntosis
10001,with
10001,an
10001,english
10001,translation
10001,by
10001,w
10001,h
10001,d
10001,rouse
10001,m
10001,a
10001,litt
10001,d
10001,mcmxx
10001,introduction
10001,this
10001,piece
10001,is
10001,ascribed
10001,to
10001,seneca
10001,by
10001,ancient
10001,tradition
10001,it
10001,is
10001,impossible
10001,to
10001,prove
10001,that
10001,it
10001,is
10001,his
10001,and
10001,impossible
10001,to
10001,prove
10001,that
10001,it
10001,is
10001,not
10001,the
10001,matter
10001,will
10001,probably
10001,continue
10001,to
10001,be
10001,decided
10001,by
10001,every
10001,one
10001,according
10001,to
10001,his
10001,view
10001,of
10001,seneca
10001,s
10001,character
10001,and
10001,abilities
10001,in
10001,the
10001,matters
10001,of
10001,style
10001,and
10001,of
10001,sentiment
10001,much
10001,may
10001,be
10001,said
10001,on
10001,both
10001,sides
10001,dion
10001,cassius
10001,lx
10001,says
10001,that
10001,seneca
10001,composed
10001,an
10001,greek
10001,apokolokuntosis
10001,or
10001,pumpkinification
10001,of
10001,claudius
10001,after
10001,his
10001,death
10001,the
10001,title
10001,being
10001,a
10001,parody
10001,of
10001,the
10001,usual
10001,greek
10001,apotheosis
10001,but
10001,this
10001,title
10001,is
10001,not
10001,given
10001,in
10001,the
10001,mss
10001,of
10001,the
10001,ludus
10001,de
10001,morte
10001,claudii
10001,nor
10001,is
10001,there
10001,anything
10001,in
10001,the
10001,piece
10001,which
10001,suits
10001,the
10001,title
10001,very
10001,well
10001,as
10001,a
10001,literary
10001,form
10001,the
10001,piece
10001,belongs
10001,to
10001,the
10001,class
10001,called
10001,satura
10001,menippea
10001,a
10001,satiric
10001,medley
10001,in
10001,prose
10001,and
10001,verse
10001,this
10001,text
10001,is
10001,that
10001,of
10001,buecheler
10001,with
10001,a
10001,few
10001,trifling
10001,changes
10001,which
10001,are
10001,indicated
10001,in
10001,the
10001,notes
10001,we
10001,have
10001,been
10001,courteously
10001,allowed
10001,by
10001,messrs
10001,weidmann
10001,to
10001,use
10001,this
10001,text
10001,i
10001,have
10001,to
10001,acknowledge
10001,the
10001,help
10001,of
10001,mr
10001,ball
10001,s
10001,notes
10001,from
10001,which
10001,i
10001,have
10001,taken
10001,a
10001,few
10001,references
10001,but
10001,my
10001,translation
10001,was
10001,made
10001,many
10001,years
10001,ago
10001,w
10001,h
10001,d
10001,rouse
10001,bibliography
10001,editio
10001,princeps
10001,lucii
10001,annaei
10001,senecae
10001,in
10001,morte
10001,claudii
10001,caesaris
10001,ludus
10001,nuper
10001,repertus
10001,rome
10001,latest
10001,critical
10001,text
10001,franz
10001,buecheler
10001,weidmann
10001,a
10001,reprint
10001,with
10001,a
10001,few
10001,changes
10001,of
10001,the
10001,text
10001,from
10001,a
10001,larger
10001,work
10001,divi
10001,claudii
10001,greek
10001,apokolokuntosis
10001,in
10001,the
10001,symbola
10001,philologorum
10001,bonnensium
10001,fasc
10001,i
10001,translations
10001,and
10001,helps
10001,the
10001,satire
10001,of
10001,seneca
10001,on
10001,the
10001,apotheosis
10001,of
10001,claudius
10001,by
10001,a
10001,p
10001,ball
10001,with
10001,introduction
10001,notes
10001,and
10001,translations
10001,new
10001,york
10001,columbia
10001,university
10001,press
10001,london
10001,macmillan
10001,seneca
10001,apocolocyntosis
10001,or
10001,ludus
10001,de
10001,morte
10001,claudii
10001,the
10001,pumpkinification
10001,of
10001,claudius
10001,i
10001,wish
10001,to
10001,place
10001,on
10001,record
10001,the
10001,proceedings
10001,in
10001,heaven
10001,october
10001,last
10001,of
10001,the
10001,new
10001,year
10001,which
10001,begins
10001,this
10001,auspicious
10001,age
10001,it
10001,shall
10001,be
10001,done
10001,without
10001,malice
10001,or
10001,favour
10001,this
10001,is
10001,the
10001,truth
10001,ask
10001,if
10001,you
10001,like
10001,how
10001,i
10001,know
10001,it
10001,to
10001,begin
10001,with
10001,i
10001,am
10001,not
10001,bound
10001,to
10001,please
10001,you
10001,with
10001,my
10001,answer
10001,who
10001,will
10001,compel
10001,me
10001,i
10001,know
10001,the
10001,same
10001,day
10001,made
10001,me
10001,free
10001,which
10001,was
10001,the
10001,last
10001,day
10001,for
10001,him
10001,who
10001,made
10001,the
10001,proverb
10001,true
10001,one
10001,must
10001,be
10001,born
10001,either
10001,a
10001,pharaoh
10001,or
10001,a
10001,fool
10001,if
10001,i
10001,choose
10001,to
10001,answer
10001,i
10001,will
10001,say
10001,whatever
10001,trips
10001,off
10001,my
10001,tongue
10001,who
10001,has
10001,ever
10001,made
10001,the
10001,historian
10001,produce
10001,witness
10001,to
10001,swear
10001,for
10001,him
10001,but
10001,if
10001,an
10001,authority
10001,must
10001,be
10001,produced
10001,ask
10001,of
10001,the
10001,man
10001,who
10001,saw
10001,drusilla
10001,translated
10001,to
10001,heaven
10001,the
10001,same
10001,man
10001,will
10001,aver
10001,he
10001,saw
10001,claudius
10001,on
10001,the
10001,road
10001,dot
10001,and
10001,carry
10001,one
10001,sidenote
10001,virg
10001,aen
10001,ii
10001,will
10001,he
10001,nill
10001,he
10001,all
10001,that
10001,happens
10001,in
10001,heaven
10001,he
10001,needs
10001,must
10001,see
10001,he
10001,is
10001,the
10001,custodian
10001,of
10001,the
10001,appian
10001,way
10001,by
10001,that
10001,route
10001,you
10001,know
10001,both
10001,tiberius
10001,and
10001,augustus
10001,went
10001,up
10001,to
10001,the
10001,gods
10001,question
10001,him
10001,he
10001,will
10001,tell
10001,you
10001,the
10001,tale
10001,when
10001,you
10001,are
10001,alone
10001,before
10001,company
10001,he
10001,is
10001,dumb
10001,you
10001,see
10001,he
10001,swore
10001,in
10001,the
10001,senate
10001,that
10001,he
10001,beheld
10001,drusilla
10001,mounting
10001,heavenwards
10001,and
10001,all
10001,he
10001,got
10001,for
10001,his
10001,good
10001,news
10001,was
10001,that
10001,everybody
10001,gave
10001,him
10001,the
10001,lie
10001,since
10001,when
10001,he
10001,solemnly
10001,swears
10001,he
10001,will
10001,never
10001,bear
10001,witness
10001,again
10001,to
10001,what
10001,he
10001,has
10001,seen
10001,not
10001,even
10001,if
10001,he
10001,had
10001,seen
10001,a
10001,man
10001,murdered
10001,in
10001,open
10001,market
10001,what
10001,he
10001,told
10001,me
10001,i
10001,report
10001,plain
10001,and
10001,clear
10001,as
10001,i
10001,hope
10001,for
10001,his
10001,health
10001,and
10001,happiness
10001,now
10001,had
10001,the
10001,sun
10001,with
10001,shorter
10001,course
10001,drawn
10001,in
10001,his
10001,risen
10001,light
10001,and
10001,by
10001,equivalent
10001,degrees
10001,grew
10001,the
10001,dark
10001,hours
10001,of
10001,night
10001,victorious
10001,cynthia
10001,now
10001,held
10001,sway
10001,over
10001,a
10001,wider
10001,space
10001,grim
10001,winter
10001,drove
10001,rich
10001,autumn
10001,out
10001,and
10001,now
10001,usurped
10001,his
10001,place
10001,and
10001,now
10001,the
10001,fiat
10001,had
10001,gone
10001,forth
10001,that
10001,bacchus
10001,must
10001,grow
10001,old
10001,the
10001,few
10001,last
10001,clusters
10001,of
10001,the
10001,vine
10001,were
10001,gathered
10001,ere
10001,the
10001,cold
10001,i
10001,shall
10001,make
10001,myself
10001,better
10001,understood
10001,if
10001,i
10001,say
10001,the
10001,month
10001,was
10001,october
10001,the
10001,day
10001,was
10001,the
10001,thirteenth
10001,what
10001,hour
10001,it
10001,was
10001,i
10001,cannot
10001,certainly
10001,tell
10001,philosophers
10001,will
10001,agree
10001,more
10001,often
10001,than
10001,clocks
10001,but
10001,it
10001,was
10001,between
10001,midday
10001,and
10001,one
10001,after
10001,noon
10001,clumsy
10001,creature
10001,you
10001,say
10001,the
10001,poets
10001,are
10001,not
10001,content
10001,to
10001,describe
10001,sunrise
10001,and
10001,sunset
10001,and
10001,now
10001,they
10001,even
10001,disturb
10001,the
10001,midday
10001,siesta
10001,will
10001,you
10001,thus
10001,neglect
10001,so
10001,good
10001,an
10001,hour
10001,now
10001,the
10001,sun
10001,s
10001,chariot
10001,had
10001,gone
10001,by
10001,the
10001,middle
10001,of
10001,his
10001,way
10001,half
10001,wearily
10001,he
10001,shook
10001,the
10001,reins
10001,nearer
10001,to
10001,night
10001,than
10001,day
10001,and
10001,led
10001,the
10001,light
10001,along
10001,the
10001,slope
10001,that
10001,down
10001,before
10001,him
10001,lay
10001,claudius
10001,began
10001,to
10001,breathe
10001,his
10001,last
10001,and
10001,could
10001,not
10001,make
10001,an
10001,end
10001,of
10001,the
10001,matter
10001,then
10001,mercury
10001,who
10001,had
10001,always
10001,been
10001,much
10001,pleased
10001,with
10001,his
10001,wit
10001,drew
10001,aside
10001,one
10001,of
10001,the
10001,three
10001,fates
10001,and
10001,said
10001,cruel
10001,beldame
10001,why
10001,do
10001,you
10001,let
10001,the
10001,poor
10001,wretch
10001,be
10001,tormented
10001,after
10001,all
10001,this
10001,torture
10001,cannot
10001,he
10001,have
10001,a
10001,rest
10001,four
10001,and
10001,sixty
10001,years
10001,it
10001,is
10001,now
10001,since
10001,he
10001,began
10001,to
10001,pant
10001,for
10001,breath
10001,what
10001,grudge
10001,is
10001,this
10001,you
10001,bear
10001,against
10001,him
10001,and
10001,the
10001,whole
10001,empire
10001,do
10001,let
10001,the
10001,astrologers
10001,tell
10001,the
10001,truth
10001,for
10001,once
10001,since
10001,he
10001,became
10001,emperor
10001,they
10001,have
10001,never
10001,let
10001,a
10001,year
10001,pass
10001,never
10001,a
10001,month
10001,without
10001,laying
10001,him
10001,out
10001,for
10001,his
10001,burial
10001,yet
10001,it
10001,is
10001,no
10001,wonder
10001,if
10001,they
10001,are
10001,wrong
10001,and
10001,no
10001,one
10001,knows
10001,his
10001,hour
10001,nobody
10001,ever
10001,believed
10001,he
10001,was
10001,really
10001,quite
10001,born
10001,footnote
10001,a
10001,proverb
10001,for
10001,a
10001,nobody
10001,as
10001,petron
10001,qui
10001,te
10001,natum
10001,non
10001,putat
10001,do
10001,what
10001,has
10001,to
10001,be
10001,done
10001,kill
10001,him
10001,and
10001,let
10001,a
10001,better
10001,man
10001,rule
10001,in
10001,empty
10001,court
10001,sidenote
10001,virg
10001,georg
10001,iv
10001,clotho
10001,replied
10001,upon
10001,my
10001,word
10001,i
10001,did
10001,wish
10001,to
10001,give
10001,him
10001,another
10001,hour
10001,or
10001,two
10001,until
10001,he
10001,should
10001,make
10001,roman
10001,citizens
10001,of
10001,the
10001,half
10001,dozen
10001,who
10001,are
10001,still
10001,outsiders
10001,he
10001,made
10001,up
10001,his
10001,mind
10001,you
10001,know
10001,to
10001,see
10001,the
10001,whole
10001,world
10001,in
10001,the
10001,toga
10001,greeks
10001,gauls
10001,spaniards
10001,britons
10001,and
10001,all
10001,but
10001,since
10001,it
10001,is
10001,your
10001,pleasure
10001,to
10001,leave
10001,a
10001,few
10001,foreigners
10001,for
10001,seed
10001,and
10001,since
10001,you
10001,command
10001,me
10001,so
10001,be
10001,it
10001,she
10001,opened
10001,her
10001,box
10001,and
10001,out
10001,came
10001,three
10001,spindles
10001,one
10001,was
10001,for
10001,augurinus
10001,one
10001,for
10001,baba
10001,one
10001,for
10001,claudius
10001,footnote
10001,augurinus
10001,unknown
10001,baba
10001,see
10001,sep
10001,ep
10001,a
10001,fool
10001,these
10001,three
10001,she
10001,says
10001,i
10001,will
10001,cause
10001,to
10001,die
10001,within
10001,one
10001,year
10001,and
10001,at
10001,no
10001,great
10001,distance
10001,apart
10001,and
10001,i
10001,will
10001,not
10001,dismiss
10001,him
10001,unattended
10001,think
10001,of
10001,all
10001,the
10001,thousands
10001,of
10001,men
10001,he
10001,was
10001,wont
10001,to
10001,see
10001,following
10001,after
10001,him
10001,thousands
10001,going
10001,before
10001,thousands
10001,all
10001,crowding
10001,about
10001,him
10001,and
10001,it
10001,would
10001,never
10001,do
10001,to
10001,leave
10001,him
10001,alone
10001,on
10001,a
10001,sudden
10001,these
10001,boon
10001,companions
10001,will
10001,satisfy
10001,him
10001,for
10001,the
10001,nonce
10001,this
10001,said
10001,she
10001,twists
10001,the
10001,thread
10001,around
10001,his
10001,ugly
10001,spindle
10001,once
10001,snaps
10001,off
10001,the
10001,last
10001,bit
10001,of
10001,the
10001,life
10001,of
10001,that
10001,imperial
10001,dunce
10001,but
10001,lachesis
10001,her
10001,hair
10001,adorned
10001,her
10001,tresses
10001,neatly
10001,bound
10001,pierian
10001,laurel
10001,on
10001,her
10001,locks
10001,her
10001,brows
10001,with
10001,garlands
10001,crowned
10001,plucks
10001,me
10001,from
10001,out
10001,the
10001,snowy
10001,wool
10001,new
10001,threads
10001,as
10001,white
10001,as
10001,snow
10001,which
10001,handled
10001,with
10001,a
10001,happy
10001,touch
10001,change
10001,colour
10001,as
10001,they
10001,go
10001,not
10001,common
10001,wool
10001,but
10001,golden
10001,wire
10001,the
10001,sisters
10001,wondering
10001,gaze
