    id     |                                           name                                            |       avg_amount       
-----------+-------------------------------------------------------------------------------------------+------------------------
 C00000935 | Adelstein,Liston, LLC                                                                     |     86900.000000000000
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |     15849.219512195122
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |     12100.466666666667
 C00000935 | Angerholzer Broz Consulting, LLC                                                          |  6124.0000000000000000
 C00000935 | Anzalone Liszt Research, Inc.                                                             | 10000.0000000000000000
 C00000935 | BlueWest Media                                                                            |     81300.000000000000
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |     16945.929347826087
 C00000935 | Buying Time, LLC                                                                          |     83900.000000000000
 C00000935 | Canal Partners Media, LLC                                                                 |     86732.200000000000
 C00000935 | CONVERSANT, INC.                                                                          |     35000.000000000000
 C00000935 | DAVID DIXON MEDIA GROUP                                                                   |     14473.250000000000
 C00000935 | DIXON DAVIS MEDIA GROUP                                                                   |     16024.933333333333
 C00000935 | ENVISION COMMUNICATIONS, INC.                                                             |  8220.8333333333333333
 C00000935 | GMMB                                                                                      |     83449.888888888889
 C00000935 | GREAT AMERICAN MEDIA                                                                      |    196187.556962025316
 C00000935 | Gum Spirits Productions DBA CD2 Consul                                                    |     85900.000000000000
 C00000935 | Joe Trippi & Associates, Inc                                                              |     86900.000000000000
 C00000935 | Main Street Communications LLC                                                            |     79900.000000000000
 C00000935 | Mundy Katowitz Media, Inc                                                                 |     86900.000000000000
 C00000935 | MURPHY VOGEL ASKEW REILLY, LLC                                                            |     12037.923076923077
 C00000935 | New Partners Teleservices                                                                 |  6993.0000000000000000
 C00000935 | OSSEN CARDENAS MEDIA, INC.                                                                |     16467.500000000000
 C00000935 | PRISM COMMUNICATIONS, INC.                                                                |     12543.950000000000
 C00000935 | RALSTON LAPP MEDIA, LLC                                                                   |     11513.960000000000
 C00000935 | RALSTON LAPP MEDIA, LLC JOHN LAPP                                                         |     12106.000000000000
 C00000935 | Screen Strategies Media, LLC                                                              |     83260.000000000000
 C00000935 | SHORR HOLDING COMPANY                                                                     | 10034.0000000000000000
 C00000935 | SHORR HOLDING COMPANY SHORR JOHNSON MAGNUS                                                |     10721.263157894737
 C00000935 | SKDKnickerbocker LLC                                                                      |     82979.500000000000
 C00000935 | Snyder Pickerill Media  Group, LLC                                                        |     47199.500000000000
 C00000935 | SWITCHBOARD COMMUNICATIONS LLC                                                            | 10828.3333333333333333
 C00000935 | The Mellman Group                                                                         |     16380.000000000000
