                                                                                                 name                                                                                                 | total_pac_donations 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------
 007 GO GODWIN COMMITTEE                                                                                                                                                                              |                    
 10,000 LAKES VICTORY 2014                                                                                                                                                                            |                    
 10 ^ 9+                                                                                                                                                                                              |                    
 10TH CONGRESSIONAL DISTRICT DEMOCRATIC COMM                                                                                                                                                          |                    
 10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE                                                                                                                                                     |                    
 1199 32BJ/144 SERVICE EMPLOYEES INTERNATIONAL UNION HOME CARE POLITICAL ACTION FUND                                                                                                                  |                    
 1199SEIU UNITED HEALTHCARE WORKERS EAST                                                                                                                                                              |                    
 1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND                                                                                                                                     |                    
 11 CONGRESSIONAL DISTRICT OF ILLINOIS TEA PARTY PAC                                                                                                                                                  |                    
 11TH CONGRESSIONAL DISTRICT OF VIRGINIA REPUBLICAN COMMITTEE - FEDERAL                                                                                                                               |                    
 11TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY                                                                                                                                                         |                    
 12TH CONGRESSIONAL DISTRICT DEMOCRATS                                                                                                                                                                |              203.00
 13TH COLONY LEADERSHIP COMMITTEE INC                                                                                                                                                                 |                    
 13TH CONG DIST REPUBLICAN PARTY                                                                                                                                                                      |                    
 13TH CONGRESSIONAL DISTRICT DEMOCRATIC ORGANIZATION                                                                                                                                                  |                    
 15TH CONGRESSIONAL DEMOCRATIC DISTRICT                                                                                                                                                               |                    
 1776 POLITICAL ACTION COMMITTEE (1776 PAC) 1776 CHALLENGE                                                                                                                                            |                    
 1787 NATIONAL COMMITTEE INC                                                                                                                                                                          |                    
 1816 GROUP; THE                                                                                                                                                                                      |                    
 18-29 PAC                                                                                                                                                                                            |            10000.00
 18TH DISTRICT REPUBLICAN CENTRAL COMMIITTEE (FEDERAL ACCOUNT)                                                                                                                                        |                    
 1911 UNITED                                                                                                                                                                                          |            11636.00
 19TH STAR PAC INC; THE                                                                                                                                                                               |                    
 1 AMERICA TOWARD A MOST EXCELLENT FUTURE FOR ALL DEMOCRATS REPUBLICANS AND INDEPENDENTS                                                                                                              |                    
 1ST SOURCE CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                                    |                    
 2006 COMMITTEE TO ELECT CYNTHIA RODRIGUEZ MATTHEWS TO 26TH CONGRESSIONAL DISTRICT                                                                                                                    |                    
 2010 INDIANA REPUBLICAN VICTORY FUND                                                                                                                                                                 |                    
 2012 DEMOCRATIC NATIONAL CONVENTION COMMITTEE INC                                                                                                                                                    |                    
 2012 NEW YORK VICTORY FUND                                                                                                                                                                           |                    
 2012 SENATE WIN                                                                                                                                                                                      |                    
 2012 TAMPA BAY HOST COMMITTEE INC                                                                                                                                                                    |                    
 2013 SENATORS CLASSIC COMMITTEE                                                                                                                                                                      |                    
 2014 SENATORS CLASSIC COMMITTEE                                                                                                                                                                      |                    
 2016 COMMITTEE; THE                                                                                                                                                                                  |                    
 2020 ACTION FUND INC                                                                                                                                                                                 |                    
 21ST CENTURY DEMOCRATS                                                                                                                                                                               |             2128.00
 21ST CENTURY LEADERSHIP PAC                                                                                                                                                                          |                    
 21ST CENTURY MAJORITY FUND                                                                                                                                                                           |             2000.00
 21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE                                                                                                                                               |                    
 21ST CENTURY PAC                                                                                                                                                                                     |                    
 21ST CENTURY PROGRESS PAC                                                                                                                                                                            |                    
 21ST WARD DELEGATE CAMPAIGN COMMITTEE                                                                                                                                                                |                    
 2ND AMENDMENT DEMOCRATS                                                                                                                                                                              |                    
 314 PAC                                                                                                                                                                                              |                    
 350.ORG ACTION FUND                                                                                                                                                                                  |                    
 36TH DISTRICT REPUBLICAN CENTRAL COMMITTEE                                                                                                                                                           |                    
 38TH ASSEMBLY DISTRICT (R) CENTRAL COMMITTEE (FEDERAL)                                                                                                                                               |                    
 3M COMPANY PAC                                                                                                                                                                                       |                    
 3 POINT LEADERSHIP FUND                                                                                                                                                                              |                    
 3RD AND LONG PAC                                                                                                                                                                                     |                    
 3RD CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN                                                                                                                                             |                    
 3 SOLUTIONS                                                                                                                                                                                          |                    
 3T PAC                                                                                                                                                                                               |                    
 401 (K) AMERICA PAC                                                                                                                                                                                  |                    
 420PAC.ORG                                                                                                                                                                                           |                    
 4 MA PAC                                                                                                                                                                                             |                    
 4-STAR DEMOCRATIC CLUB                                                                                                                                                                               |                    
 4TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE                                                                                                                                                      |                    
 4TH CONGRESSIONAL DISTRICT OF WISCONSIN REPUBLICAN CLUB                                                                                                                                              |                    
 4TH CONGRESSIONAL DISTRICT REPUBLICAN PARTY OF MINNESOTA                                                                                                                                             |                    
 4TH WARD DEMOCRATIC ORGANIZATION                                                                                                                                                                     |                    
 500 CLUB                                                                                                                                                                                             |                    
 50 STATE STRATEGY                                                                                                                                                                                    |                    
 54TH ASSEMBLY DISTRICT DEMOCRATIC CLUB                                                                                                                                                               |                    
 55TH PRESIDENTIAL INAUGURAL COMMITTEE                                                                                                                                                                |                    
 5TH CONGRESSIONAL DISTRICT INDEPENDENCE PARTY                                                                                                                                                        |                    
 613 PAC                                                                                                                                                                                              |                    
 66TH ASSEMBLY DISTRICT DEMOCRATIC COUNCIL                                                                                                                                                            |                    
 6TH CONGRESSIONAL DISTRICT DEMOCRATIC COMMITTEE OF VIRGINIA                                                                                                                                          |                    
 6TH DISTRICT REPUBLICAN COMMITTEE                                                                                                                                                                    |                    
 72ND AREA WIDE DEMOCRATIC ALLIANCE                                                                                                                                                                   |                    
 77 MILLION REPUBLICANS FUND                                                                                                                                                                          |                    
 7 - ELEVEN INC PAC                                                                                                                                                                                   |                    
 7TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY COMMITTEE                                                                                                                                                |                    
 7TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY OF WISCONSIN                                                                                                                                             |                    
 7TH DISTRICT CONGRESSIONAL REPUBLICAN COMMITTEE                                                                                                                                                      |                    
 7TH DISTRICT FEDERAL CAMPAIGN COMMITTEE                                                                                                                                                              |                    
 7TH DISTRICT REPUBLICAN COMMITTEE                                                                                                                                                                    |                    
 7TH DISTRICT REPUBLICAN PARTY OF WISCONSIN                                                                                                                                                           |                    
 80-20 NATIONAL ASIAN AMERICAN PAC                                                                                                                                                                    |                    
 8TH DISTRICT DEMOCRATIC COMMITTEE                                                                                                                                                                    |                    
 8TH DISTRICT REPUBLICAN COMMITTEE (VA)                                                                                                                                                               |                    
 912 PROJECT TENNESSEE VICTORY FUND                                                                                                                                                                   |                    
 9-9-9 FUND                                                                                                                                                                                           |                    
 999 PARTY; THE                                                                                                                                                                                       |                    
 99% POLITIKOS PARTY (99%PP)                                                                                                                                                                          |                    
 9ERS OF WESTERN NORTH CAROLINA                                                                                                                                                                       |                    
 AALA, MARIBETH                                                                                                                                                                                       |                    
 AARON LEON AMMANN FOR PRESIDENT                                                                                                                                                                      |                    
 AARON MILLER FOR CONGRESS                                                                                                                                                                            |                    
 AARON'S, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                             |                    
 AARON WOOLF FOR CONGRESS                                                                                                                                                                             |                    
 AAYP - AMERICAN ASSOCIATION OF YOUNG PEOPLE INCORPORATED YAU 527 ELECTIONS FUND                                                                                                                      |                    
