          cand_name1          |          cand_name2          
------------------------------+------------------------------
 BEGICH, MARK                 | BRALEY, BRUCE L
 BEGICH, MARK                 | CICILLINE, DAVID N
 BEGICH, MARK                 | CURTIS, AMANDA
 BEGICH, MARK                 | FOUST, JOHN
 BEGICH, MARK                 | GRIMES, ALISON  LUNDERGAN
 BEGICH, MARK                 | LANGEVIN, JAMES R. HONORABLE
 BEGICH, MARK                 | LYNCH, STEPHEN F
 BEGICH, MARK                 | OBAMA, BARACK
 BEGICH, MARK                 | REED, JACK F
 BEGICH, MARK                 | SHAHEEN, JEANNE
 BRALEY, BRUCE L              | BEGICH, MARK
 BRALEY, BRUCE L              | CICILLINE, DAVID N
 BRALEY, BRUCE L              | CURTIS, AMANDA
 BRALEY, BRUCE L              | FOUST, JOHN
 BRALEY, BRUCE L              | GRIMES, ALISON  LUNDERGAN
 BRALEY, BRUCE L              | LANGEVIN, JAMES R. HONORABLE
 BRALEY, BRUCE L              | LYNCH, STEPHEN F
 BRALEY, BRUCE L              | OBAMA, BARACK
 BRALEY, BRUCE L              | REED, JACK F
 BRALEY, BRUCE L              | SHAHEEN, JEANNE
 CICILLINE, DAVID N           | BEGICH, MARK
 CICILLINE, DAVID N           | BRALEY, BRUCE L
 CICILLINE, DAVID N           | CURTIS, AMANDA
 CICILLINE, DAVID N           | FOUST, JOHN
 CICILLINE, DAVID N           | GRIMES, ALISON  LUNDERGAN
 CICILLINE, DAVID N           | HAHN, JANICE
 CICILLINE, DAVID N           | KUSTER, ANN MCLANE
 CICILLINE, DAVID N           | LANGEVIN, JAMES R. HONORABLE
 CICILLINE, DAVID N           | LYNCH, STEPHEN F
 CICILLINE, DAVID N           | OBAMA, BARACK
 CICILLINE, DAVID N           | REED, JACK F
 CICILLINE, DAVID N           | SHAHEEN, JEANNE
 CICILLINE, DAVID N           | WHITEHOUSE, SHELDON II
 CURTIS, AMANDA               | BEGICH, MARK
 CURTIS, AMANDA               | BRALEY, BRUCE L
 CURTIS, AMANDA               | CICILLINE, DAVID N
 CURTIS, AMANDA               | FOUST, JOHN
 CURTIS, AMANDA               | GRIMES, ALISON  LUNDERGAN
 CURTIS, AMANDA               | LANGEVIN, JAMES R. HONORABLE
 CURTIS, AMANDA               | LYNCH, STEPHEN F
 CURTIS, AMANDA               | OBAMA, BARACK
 CURTIS, AMANDA               | REED, JACK F
 CURTIS, AMANDA               | SHAHEEN, JEANNE
 FOUST, JOHN                  | BEGICH, MARK
 FOUST, JOHN                  | BRALEY, BRUCE L
 FOUST, JOHN                  | CICILLINE, DAVID N
 FOUST, JOHN                  | CURTIS, AMANDA
 FOUST, JOHN                  | GRIMES, ALISON  LUNDERGAN
 FOUST, JOHN                  | LANGEVIN, JAMES R. HONORABLE
 FOUST, JOHN                  | LYNCH, STEPHEN F
 FOUST, JOHN                  | OBAMA, BARACK
 FOUST, JOHN                  | REED, JACK F
 FOUST, JOHN                  | SHAHEEN, JEANNE
 GRIMES, ALISON  LUNDERGAN    | BEGICH, MARK
 GRIMES, ALISON  LUNDERGAN    | BRALEY, BRUCE L
 GRIMES, ALISON  LUNDERGAN    | CICILLINE, DAVID N
 GRIMES, ALISON  LUNDERGAN    | CURTIS, AMANDA
 GRIMES, ALISON  LUNDERGAN    | FOUST, JOHN
 GRIMES, ALISON  LUNDERGAN    | LANGEVIN, JAMES R. HONORABLE
 GRIMES, ALISON  LUNDERGAN    | LYNCH, STEPHEN F
 GRIMES, ALISON  LUNDERGAN    | OBAMA, BARACK
 GRIMES, ALISON  LUNDERGAN    | REED, JACK F
 GRIMES, ALISON  LUNDERGAN    | SHAHEEN, JEANNE
